"country","year","participare_social_media","daily_internet_use","venit_mediu_gospodarie","gini","educatie_superioara","abilitati_digitale","nivel_acces_internet","nefolosire_internet"
"LU",2017,68.08,90.93,46538.0250714456,0.305815845727921,39.9,85.18,97.23,2.17
"LU",2018,63.76,86.34,51575.6894818054,0.317974805831909,44.1,NA,92.99,2.94
"LU",2019,62.51,87.06,51971.3258611804,0.304676324129105,47,64.58,95.2,2.88
"LU",2020,59.53,91.73,55666.2702466597,0.289739489555359,47.1,NA,93.57,1.18
"LU",2021,61.95,93.63,57697.4911134483,0.28387776017189,50.5,63.79,99.18,1.17
"LU",2022,61.78,91.72,67883.7923483281,0.296050846576691,52.3,NA,97.64,1.37
"LV",2017,59.9,69.82,17624.887253239,0.354813396930695,33.9,48.07,78.61,15.83
"LV",2018,61.47,73.35,19411.7308716018,0.351357758045197,33.9,NA,81.58,13.29
"LV",2019,64.66,75.49,21230.122417849,0.343648582696915,35.7,42.96,85.45,11.59
"LV",2020,67.09,79.5,22989.0334855574,0.354889780282974,37.8,NA,89.73,8.43
"LV",2021,69.76,83.55,25989.4674374059,0.343406021595001,39,50.8,91.15,6.22
"LV",2022,71.19,85.99,27612.2379087764,0.34034189581871,39.5,NA,91.39,6.69
"ME",2017,58.38,61.56,NA,NA,24.8,49.6,70.57,23.74
"ME",2018,60.38,62.67,NA,NA,24,NA,72.18,22.86
"ME",2019,62.15,64.59,NA,NA,25.8,NA,74.25,20.44
"ME",2020,67.37,69.09,NA,NA,25.6,NA,80.26,18.63
"ME",2021,71.39,74.2,NA,NA,NA,47.21,80.76,13.72
"ME",2022,77.32,85.02,NA,NA,NA,NA,80.96,7.71
"MK",2017,62.42,62,NA,NA,20.7,32.49,73.58,20.89
"MK",2018,64.86,68.67,NA,NA,20.3,NA,79.32,18.06
"MK",2019,68.3,72.77,NA,NA,21.3,31.55,81.62,16.69
"MK",2020,69.77,70.77,NA,NA,23.2,NA,79.39,14.1
"MK",2021,73.54,80.48,NA,NA,24,34.62,83.74,11.44
"MK",2022,NA,NA,NA,NA,24.4,NA,NA,NA
"MT",2017,70.37,75.95,NA,NA,23.9,56.59,84.77,17.85
"MT",2018,69.61,77.08,NA,NA,26.9,NA,84.14,16.59
"MT",2019,70.66,82.2,NA,NA,29.7,55.82,86.08,12.88
"MT",2020,72.49,83.22,NA,NA,30.8,NA,90.36,12.39
"MT",2021,75.57,84.35,NA,NA,32.1,61.23,90.54,11.59
"MT",2022,75.74,89.51,NA,NA,31.8,NA,93.39,7.43
"MX",2018,NA,NA,8786.90305624158,0.4179922,NA,NA,NA,NA
"MX",2020,NA,NA,8300.15312112329,0.4204694,NA,NA,NA,NA
"MX",2022,NA,NA,11064.4578829989,0.4001119,NA,NA,NA,NA
"NL",2017,66.56,89.72,35076.4721373396,0.298,37.2,79.49,98.23,2.96
"NL",2018,65.75,90.23,36498.6862151976,0.295,38.3,NA,98,3.67
"NL",2019,66.91,91.86,39599.304182835,0.312,40.4,79.37,98.41,2.43
"NL",2020,71.23,90.71,40972.9472050114,0.295,42.6,NA,96.95,3.71
"NL",2021,73.3,91.49,43494.4547034138,0.295,43.1,78.94,98.56,3.49
"NL",2022,74.09,92.63,48438.870748507,0.291999995708466,44.7,NA,98.28,3.22
"NO",2017,82.58,91.6,41352.240600465,0.26154,43.2,77.02,96.65,1.11
"NO",2018,81.8,93.43,43021.3933280797,0.26208,43.7,NA,96.01,1.17
"NO",2019,86.31,94.81,45332.5997973725,0.26127,44,82.55,98.38,0.82
"NO",2020,87.83,94.14,46010.3046166671,0.263,45.3,NA,96.2,0.67
"NO",2021,88.28,95.36,50660.9330790156,0.28508,47,78.71,98.93,0.26
"NO",2022,89.65,96.3,53527.046886873,0.26233,47.5,NA,99.01,0.08
"NZ",2017,NA,NA,32001.9686143955,0.335,NA,NA,NA,NA
"NZ",2018,NA,NA,32805.8279347822,0.33,NA,NA,NA,NA
"NZ",2019,NA,NA,34604.0628267662,0.326,NA,NA,NA,NA
"NZ",2020,NA,NA,37210.4105053461,0.318,NA,NA,NA,NA
"NZ",2021,NA,NA,38709.0762489808,0.303,NA,NA,NA,NA
"NZ",2022,NA,NA,44105.9237761818,0.326,NA,NA,NA,NA
"PL",2017,48.02,61.13,19371.8164487168,0.274673581123352,29.9,46.38,81.88,19.62
"PL",2018,49.87,63.91,21201.8777234655,0.281198173761368,30.9,NA,84.19,18.32
"PL",2019,53.04,68.18,24174.5659847579,0.268066674470901,32.4,44.45,86.75,15.48
"PL",2020,54.78,72.34,25688.6752148546,0.265315651893616,33.3,NA,90.38,13.16
"PL",2021,56.78,73.67,27771.1570762912,0.260932803153992,33.7,42.93,92.42,11.14
"PL",2022,60.61,80.32,31844.5644705969,0.270148277282715,34.4,NA,93.33,9.42
"PT",2017,56.13,62.62,18704.4709152936,0.319619029760361,24.1,50.26,76.94,22.34
"PT",2018,59.18,63.91,20371.4431683012,0.316905468702316,25,NA,79.43,22.78
"PT",2019,60.4,65.42,22893.9517690051,0.309856653213501,26.4,51.76,80.94,21.97
"PT",2020,62.74,70.44,23426.1111380225,0.326657593250275,27.5,NA,84.49,18.22
"PT",2021,65.46,74.56,24321.6656399142,0.312692284584045,28.8,55.31,87.34,15.61
"PT",2022,66.72,79.61,28251.8899266809,0.331545054912567,29.5,NA,88.15,13.62
"RO",2017,52.2,46.73,10617.3542598177,0.351603776216507,17.6,29.05,76.45,26.54
"RO",2018,60.77,53.38,12239.9659486432,0.350186407566071,17.8,NA,80.89,21.22
